who_region,iso3,country_name,city,year,version,pm10_concentration,pm25_concentration,no2_concentration,type_of_stations,reference,web_link,population,population_source,latitude,longitude,who_ms
4_Eur,FRA,France,Aix En Provence/FRA,2010,"V4.0 (2018), V4.0 (2018), V4.0 (2018), V4.0 (2018)",28.128,14.916,30.526,NA,NA,NA,140684,"old database, old database, old database, old database",43.528735,5.44343325,1
4_Eur,FRA,France,Aix En Provence/FRA,2013,"V4.0 (2018), V4.0 (2018)",30.151,18.67,35.027,"Urban, Urban",NA,NA,142482,NA,43.5272,5.44455,1
4_Eur,FRA,France,Aix En Provence/FRA,2014,"V6.0  (2023), V6.0  (2023)",23.635,13.06,32.724,"Urban, Urban",NA,NA,142482,NA,43.5272,5.44455,1
4_Eur,FRA,France,Aix En Provence/FRA,2015,"V6.0  (2023), V6.0  (2023)",23.556,12.934,36.091,"Urban, Urban",NA,NA,142482,NA,43.5272,5.44455,1
4_Eur,FRA,France,Aix En Provence/FRA,2016,"V6.0  (2023), V6.0  (2023)",21.352,12.948,34.993,"Urban, Urban",NA,NA,142482,NA,43.5272,5.44455,1
4_Eur,FRA,France,Aix En Provence/FRA,2017,"V6.0  (2023), V6.0  (2023)",23.581,12.781,35.776,"Urban, Urban",NA,NA,142482,NA,43.5272,5.44455,1
4_Eur,FRA,France,Aix En Provence/FRA,2018,"V6.0  (2023), V6.0  (2023)",23.526,11.944,31.201,"Urban, Urban",NA,NA,142482,NA,43.5272,5.44455,1
4_Eur,FRA,France,Aix En Provence/FRA,2019,"V6.0  (2023), V6.0  (2023)",21.696,10.507,30.886,"Urban, Urban",NA,NA,142482,NA,43.5272,5.44455,1
4_Eur,FRA,France,Aix En Provence/FRA,2020,"V6.0  (2023), V6.0  (2023)",17.475,8.405,22.453,"Urban, Urban",NA,NA,142482,NA,43.5272,5.44455,1
4_Eur,FRA,France,Aix En Provence/FRA,2021,"V6.0  (2023), V6.0  (2023)",19.058,9.041,22.009,"Urban, Urban",NA,NA,142482,NA,43.5272,5.44455,1
4_Eur,FRA,France,Ajaccio/FRA,2014,"V6.0  (2023), V6.0  (2023)",23.508,9.973,25.863,"Urban, Urban",NA,NA,NA,NA,41.9215,8.73625,1
4_Eur,FRA,France,Ajaccio/FRA,2015,"V6.0  (2023), V6.0  (2023)",23.797,10.239,25.226,"Urban, Urban",NA,NA,NA,NA,41.9215,8.73625,1
4_Eur,FRA,France,Ajaccio/FRA,2019,"V6.0  (2023), V6.0  (2023), V6.0  (2023)",19.741,9.285,26.533,"Urban, Urban, Urban",NA,NA,NA,NA,41.92293333,8.736933333,1
4_Eur,FRA,France,Ajaccio/FRA,2020,"V6.0  (2023), V6.0  (2023)",20.232,9.084,19.622,"Urban, Urban",NA,NA,NA,NA,41.92525,8.737,1
4_Eur,FRA,France,Ajaccio/FRA,2021,"V6.0  (2023), V6.0  (2023)",23.991,9.386,20.469,"Urban, Urban",NA,NA,NA,NA,41.92525,8.737,1
4_Eur,FRA,France,Albertville/FRA,2018,V6.0  (2023),16.971,10.026,19.893,Urban,NA,NA,NA,NA,45.675,6.3897,1
4_Eur,FRA,France,Albertville/FRA,2019,V6.0  (2023),14.914,9.006,17.953,Urban,NA,NA,NA,NA,45.675,6.3897,1
4_Eur,FRA,France,Albertville/FRA,2020,V6.0  (2023),14.764,9.07,14.985,Urban,NA,NA,NA,NA,45.675,6.3897,1
4_Eur,FRA,France,Albertville/FRA,2021,V6.0  (2023),16.042,9.793,14.668,Urban,NA,NA,NA,NA,45.675,6.3897,1
4_Eur,FRA,France,Amiens/FRA,2013,"V4.0 (2018), V4.0 (2018)",24.392,17.796,23.633,"Urban, Urban",NA,NA,137609,NA,49.88945,2.29355,1
4_Eur,FRA,France,Amiens/FRA,2014,"V6.0  (2023), V6.0  (2023)",21.119,12.76,23.65,"Urban, Urban",NA,NA,137609,NA,49.88945,2.29355,1
