"","Date","Region","SO2","PM10","PSI"
"1",2014-06-02,"N",8,26,54
"2",2014-06-02,"E",22,18,47
"3",2014-06-02,"W",25,28,58
"4",2014-06-02,"C",19,21,51
"5",2014-06-03,"N",8,22,52
"6",2014-06-03,"S",9,23,51
"7",2014-06-03,"E",22,16,42
"8",2014-06-03,"W",31,25,54
"9",2014-06-03,"C",18,19,50
"10",2014-06-05,"N",14,25,55
"11",2014-06-05,"S",17,21,51
"12",2014-06-05,"E",29,18,49
"13",2014-06-05,"W",11,19,44
"14",2014-06-05,"C",33,21,52
"15",2014-06-06,"N",6,22,52
"16",2014-06-06,"S",11,20,51
"17",2014-06-06,"E",27,19,51
"18",2014-06-06,"W",24,20,46
"19",2014-06-06,"C",15,16,41
"20",2014-06-08,"N",6,16,41
"21",2014-06-08,"S",8,21,45
"22",2014-06-08,"E",24,14,37
"23",2014-06-08,"W",40,23,50
"24",2014-06-08,"C",19,15,32
"25",2014-06-09,"N",10,25,53
"26",2014-06-09,"S",10,25,51
"27",2014-06-09,"E",25,19,47
"28",2014-06-09,"W",40,27,54
"29",2014-06-09,"C",23,20,44
"30",2014-06-10,"N",10,35,61
"31",2014-06-10,"S",7,23,51
"32",2014-06-10,"E",17,23,52
"33",2014-06-10,"W",17,36,62
"34",2014-06-10,"C",22,25,55
"35",2014-06-11,"S",4,19,42
"36",2014-06-11,"E",5,17,44
"37",2014-06-11,"W",28,24,52
"38",2014-06-11,"C",23,21,52
"39",2014-06-12,"N",5,24,52
"40",2014-06-12,"S",7,22,49
"41",2014-06-12,"E",8,21,52
"42",2014-06-12,"W",17,31,53
"43",2014-06-12,"C",25,21,51
"44",2014-06-13,"N",6,27,54
"45",2014-06-13,"S",12,26,53
"46",2014-06-13,"E",14,22,54
"47",2014-06-13,"W",46,29,56
"48",2014-06-13,"C",28,24,53
"49",2014-06-14,"N",9,19,37
"50",2014-06-14,"S",24,20,47
"51",2014-06-14,"E",16,17,46
"52",2014-06-14,"W",44,30,53
"53",2014-06-14,"C",38,18,46
"54",2014-06-16,"N",3,23,52
"55",2014-06-16,"S",5,24,51
"56",2014-06-16,"E",10,22,53
"57",2014-06-16,"W",14,24,53
"58",2014-06-16,"C",32,20,52
"59",2014-06-17,"N",5,19,43
"60",2014-06-17,"S",3,21,44
"61",2014-06-17,"E",6,16,42
"62",2014-06-17,"W",22,24,53
"63",2014-06-17,"C",26,19,45
"64",2014-06-19,"S",8,22,48
"65",2014-06-19,"E",13,18,48
"66",2014-06-19,"W",19,26,52
"67",2014-06-19,"C",34,20,49
"68",2014-06-20,"N",5,20,49
"69",2014-06-20,"S",4,23,51
"70",2014-06-20,"E",8,18,45
"71",2014-06-20,"W",24,24,53
"72",2014-06-20,"C",14,21,52
"73",2014-06-21,"N",14,28,55
"74",2014-06-21,"S",11,28,54
"75",2014-06-21,"E",11,22,53
"76",2014-06-21,"W",16,31,56
"77",2014-06-21,"C",23,25,54
"78",2014-06-22,"N",14,34,62
"79",2014-06-22,"S",16,33,59
"80",2014-06-22,"E",15,30,61
"81",2014-06-22,"W",14,37,61
"82",2014-06-22,"C",29,33,62
"83",2014-06-23,"N",12,33,60
"84",2014-06-23,"S",27,32,58
"85",2014-06-23,"E",31,29,61
"86",2014-06-23,"W",19,32,59
"87",2014-06-23,"C",34,30,59
"88",2014-06-26,"N",12,21,51
"89",2014-06-26,"E",14,19,48
"90",2014-06-26,"W",23,25,53
"91",2014-06-26,"C",11,19,47
"92",2014-06-27,"N",12,25,55
"93",2014-06-27,"S",49,25,53
"94",2014-06-27,"E",41,20,52
"95",2014-06-27,"W",9,23,52
"96",2014-06-27,"C",15,23,52
"97",2014-06-28,"N",12,29,59
"98",2014-06-28,"S",30,25,55
"99",2014-06-28,"E",23,21,53
"100",2014-06-28,"W",15,30,58
"101",2014-06-28,"C",28,25,56
"102",2014-06-29,"N",12,22,54
"103",2014-06-29,"S",21,21,46
"104",2014-06-29,"E",17,18,49
"105",2014-06-29,"W",16,26,54
"106",2014-06-29,"C",19,21,52
"107",2014-06-30,"N",12,25,54
"108",2014-06-30,"E",17,20,52
"109",2014-06-30,"W",11,23,52
"110",2014-06-30,"C",11,23,54
