"","X","month","town","flat_type","block","street_name","storey_range","floor_area_sqm","flat_model","lease_commence_date","resale_price"
"1",36112,"2014-01","ANG MO KIO","3 ROOM","463","ANG MO KIO AVE 10","01 TO 03",68,"New Generation",1980,327000
"2",43008,"2014-06","CLEMENTI","3 ROOM","319","CLEMENTI AVE 4","07 TO 09",67,"New Generation",1979,415000
"3",69833,"2015-12","ANG MO KIO","3 ROOM","442","ANG MO KIO AVE 10","10 TO 12",67,"New Generation",1979,325000
"4",42670,"2014-06","ANG MO KIO","5 ROOM","501","ANG MO KIO AVE 5","07 TO 09",121,"Improved",1981,634000
"5",50746,"2014-11","WOODLANDS","4 ROOM","891B","WOODLANDS DR 50","07 TO 09",100,"Model A",1996,390000
"6",62804,"2015-07","JURONG EAST","EXECUTIVE","323","JURONG EAST ST 31","04 TO 06",149,"Maisonette",1985,605000
"7",41751,"2014-05","JURONG EAST","5 ROOM","116","JURONG EAST ST 13","16 TO 18",120,"Improved",1981,635000
"8",52092,"2014-12","WOODLANDS","5 ROOM","894D","WOODLANDS DR 50","04 TO 06",121,"Improved",1996,470000
"9",88776,"2016-11","SENGKANG","4 ROOM","185C","RIVERVALE CRES","13 TO 15",88,"Model A2",2000,378000
"10",88812,"2016-11","SENGKANG","5 ROOM","409A","FERNVALE RD","16 TO 18",115,"Premium Apartment",2004,450000
"11",25131,"2013-04","TAMPINES","4 ROOM","317","TAMPINES ST 33","04 TO 06",108,"Model A",1995,461000
"12",78774,"2016-05","TOA PAYOH","4 ROOM","79B","TOA PAYOH CTRL","04 TO 06",91,"Model A",2009,585000
"13",23378,"2013-03","SEMBAWANG","4 ROOM","352C","CANBERRA RD","10 TO 12",92,"Model A",2001,480000
"14",22252,"2013-02","SENGKANG","4 ROOM","273D","COMPASSVALE LINK","04 TO 06",90,"Premium Apartment",2009,580000
"15",45360,"2014-08","BISHAN","4 ROOM","195","BISHAN ST 13","10 TO 12",85,"Simplified",1988,575000
"16",47215,"2014-09","JURONG WEST","5 ROOM","157","YUNG LOH RD","16 TO 18",128,"Improved",1996,485000
"17",71470,"2016-01","BUKIT MERAH","3 ROOM","54","TELOK BLANGAH DR","04 TO 06",88,"New Generation",1978,472000
"18",94791,"2017-04","ANG MO KIO","3 ROOM","345","ANG MO KIO AVE 3","10 TO 12",73,"New Generation",1978,370000
"19",60492,"2015-06","BEDOK","3 ROOM","521","BEDOK NTH AVE 1","07 TO 09",82,"New Generation",1979,365000
"20",98938,"2017-06","BUKIT PANJANG","3 ROOM","132","CASHEW RD","01 TO 03",73,"Model A",1988,282000
"21",67244,"2015-10","GEYLANG","4 ROOM","2A","GEYLANG SERAI","13 TO 15",93,"Model A",2011,630000
"22",20170,"2013-01","BEDOK","4 ROOM","182","BEDOK NTH RD","04 TO 06",85,"Model A",2006,566000
"23",22186,"2013-02","QUEENSTOWN","3 ROOM","3","GHIM MOH RD","07 TO 09",65,"Improved",1976,408888
"24",68777,"2015-11","CHOA CHU KANG","4 ROOM","670A","CHOA CHU KANG CRES","13 TO 15",103,"Premium Apartment",1999,375000
"25",83766,"2016-08","SENGKANG","4 ROOM","211D","COMPASSVALE LANE","07 TO 09",93,"Model A",2013,428888
"26",75143,"2016-03","TOA PAYOH","3 ROOM","235","LOR 8 TOA PAYOH","10 TO 12",65,"Improved",1976,280000
"27",29480,"2013-07","SENGKANG","4 ROOM","272C","SENGKANG CTRL","01 TO 03",90,"Premium Apartment",2009,545000
"28",4332,"2012-04","WOODLANDS","5 ROOM","414","WOODLANDS ST 41","11 TO 15",128,"Improved",1996,470000
"29",22150,"2013-02","PASIR RIS","5 ROOM","751","PASIR RIS ST 71","10 TO 12",126,"Improved",1996,560000
"30",13635,"2012-09","CLEMENTI","3 ROOM","449","CLEMENTI AVE 3","04 TO 06",68,"New Generation",1980,410000
"31",26799,"2013-05","TAMPINES","4 ROOM","708","TAMPINES ST 71","10 TO 12",102,"Model A",1997,494000
"32",53578,"2015-01","KALLANG/WHAMPOA","4 ROOM","3C","UPP BOON KENG RD","10 TO 12",90,"Model A",2006,648000
"33",41264,"2014-05","BEDOK","3 ROOM","55","CHAI CHEE DR","01 TO 03",80,"Model A",1984,340000
"34",91066,"2017-01","HOUGANG","4 ROOM","142","LOR AH SOO","10 TO 12",108,"Model A",1984,438000
"35",16483,"2012-10","TOA PAYOH","5 ROOM","141","LOR 2 TOA PAYOH","28 TO 30",116,"Improved",2001,805000
"36",22322,"2013-02","TAMPINES","4 ROOM","101","SIMEI ST 1","07 TO 09",104,"Model A",1988,535000
"37",94381,"2017-03","TAMPINES","4 ROOM","288","TAMPINES ST 22","04 TO 06",103,"Model A",1984,387000
"38",7331,"2012-06","CENTRAL AREA","3 ROOM","269C","QUEEN ST","07 TO 09",67,"New Generation",1984,485000
"39",9350,"2012-07","BUKIT PANJANG","5 ROOM","243","BT PANJANG RING RD","07 TO 09",122,"Improved",1988,470000
"40",84869,"2016-09","CLEMENTI","4 ROOM","318","CLEMENTI AVE 4","04 TO 06",91,"New Generation",1979,570000
"41",72634,"2016-02","BEDOK","4 ROOM","54","CHAI CHEE ST","01 TO 03",95,"New Generation",1981,365000
"42",72157,"2016-01","SENGKANG","5 ROOM","241","COMPASSVALE WALK","04 TO 06",115,"Improved",1999,5e+05
"43",100034,"2017-06","TOA PAYOH","2 ROOM","120","LOR 2 TOA PAYOH","04 TO 06",40,"Standard",1968,215000
"44",67000,"2015-10","BUKIT PANJANG","4 ROOM","259","BT PANJANG RING RD","01 TO 03",103,"Model A",1989,350000
